date,n1,n2,n3,n4,n5,red
7/27/2016,10,47,50,65,68,24
7/23/2016,5,7,23,35,39,11
7/20/2016,6,25,35,58,66,5
7/16/2016,11,17,40,50,62,26
7/13/2016,3,15,29,54,57,10
7/9/2016,10,28,32,61,64,12
7/6/2016,2,24,31,57,66,18
7/2/2016,10,34,39,59,63,4
6/29/2016,23,29,37,60,64,6
6/25/2016,3,27,36,56,69,25
6/22/2016,14,40,42,43,52,17
6/18/2016,2,23,41,53,63,11
6/15/2016,4,22,24,31,33,10
6/11/2016,20,27,36,41,58,7
6/8/2016,12,25,37,60,69,20
6/4/2016,16,20,22,43,64,17
6/1/2016,23,30,33,40,69,12
5/28/2016,6,33,34,58,59,12
5/25/2016,11,24,41,59,64,15
5/21/2016,5,7,9,23,32,26
5/18/2016,23,25,39,54,67,11
5/14/2016,13,27,47,64,65,9
5/11/2016,20,32,52,66,69,23
5/7/2016,5,25,26,44,66,9
5/4/2016,30,47,57,66,69,3
4/30/2016,3,12,16,32,34,14
4/27/2016,2,25,33,39,64,17
4/23/2016,19,35,46,59,62,13
4/20/2016,12,25,30,52,62,8
4/16/2016,3,18,25,32,51,3
4/13/2016,30,33,35,38,64,22
4/9/2016,14,22,23,41,61,9
4/6/2016,4,28,49,60,65,25
4/2/2016,9,28,30,40,61,3
3/30/2016,24,44,53,55,63,19
3/26/2016,11,23,42,52,68,6
3/23/2016,5,8,15,22,49,25
3/19/2016,11,23,43,54,60,3
3/16/2016,10,12,13,46,50,21
3/12/2016,11,28,50,57,62,23
3/9/2016,14,23,32,34,68,3
3/5/2016,3,27,34,59,69,19
3/2/2016,12,13,44,52,62,6
2/27/2016,10,11,21,22,53,18
2/24/2016,21,31,64,65,67,5
2/20/2016,11,12,15,16,54,25
2/17/2016,7,17,27,29,40,25
2/13/2016,7,15,18,19,36,20
2/10/2016,2,3,40,50,62,5
2/6/2016,4,13,31,36,52,8
2/3/2016,26,28,31,60,67,23
1/30/2016,5,12,16,31,43,18
1/27/2016,3,12,40,52,67,21
1/23/2016,22,32,34,40,69,19
1/20/2016,5,39,44,47,69,24
1/16/2016,3,51,52,61,64,6
1/13/2016,4,8,19,27,34,10
1/9/2016,16,19,32,34,57,13
1/6/2016,2,11,47,62,63,17
1/2/2016,5,6,15,29,42,10
12/30/2015,12,36,38,54,61,22
12/26/2015,27,40,44,59,65,20
12/23/2015,16,38,55,63,67,25
12/19/2015,28,30,41,59,68,10
12/16/2015,9,10,32,42,55,6
12/12/2015,2,14,19,30,62,22
12/9/2015,7,10,16,46,56,1
12/5/2015,13,27,33,47,68,13
12/2/2015,14,18,19,32,64,9
11/28/2015,2,6,47,66,67,2
11/25/2015,16,29,53,58,69,21
11/21/2015,37,47,50,52,57,21
11/18/2015,17,40,41,46,69,6
11/14/2015,14,22,37,45,66,5
11/11/2015,4,26,32,55,64,18
11/7/2015,7,16,25,50,53,15
11/4/2015,2,12,17,20,65,17
10/31/2015,9,20,25,47,68,7
10/28/2015,4,54,56,62,63,10
10/24/2015,20,31,56,60,64,2
10/21/2015,30,32,42,56,57,11
10/17/2015,48,49,57,62,69,19
10/14/2015,15,20,29,31,40,1
10/10/2015,12,27,29,43,68,1
10/7/2015,18,30,40,48,52,9
